;Name;MovieType;Director;Duration;Year;Country;Worldwide;Scenarist;Month;Season;Top_Director
1;Inception;Bilim Kurgu;Christopher Nolan;148;2010;Multi Nation;$828,258,695;Christopher Nolan;Temmuz;summer;1
3;The Prestige;Bilim Kurgu;Christopher Nolan;130;2006;Multi Nation;$109,676,311;"Christopher Nolan
                                        ";Aral?k;winter;1
6;V For Vendetta;Bilim Kurgu;James McTeigue;134;2006;Multi Nation;$132,511,035;"Lilly Wachowski
                                        ";Mart;spring;0
7;The Lord of the Rings: The Return of the King;Aksiyon;Peter Jackson;263;2003;ABD;$1,140,682,011;"Fran Walsh
                                        ";Aral?k;winter;1
9;The Lord of the Rings: The Two Towers;Aksiyon;Peter Jackson;235;2002;ABD;$936,689,735;"Fran Walsh
                                        ";Aral?k;winter;1
10;A Beautiful Mind;Dram;Ron Howard;135;2001;ABD;$313,542,341;Akiva Goldsman;Mart;spring;0
11;The Curious Case Of Benjamin Button;Dram;David Fincher;162;2008;ABD;$335,802,786;"Eric Roth
                                        ";?ubat;winter;1
12;I Am Legend;Bilim Kurgu;Francis Lawrence;100;2007;ABD;$585,410,052;"Mark Protosevich
                                        ";Ocak;winter;0
13;The Dark Knight;Aksiyon;Christopher Nolan;152;2008;Multi Nation;$1,003,845,358;"Christopher Nolan
                                        ";Temmuz;summer;1
14;Pirates Of The Caribbean: The Curse Of The Black Pearl;Aksiyon;Gore Verbinski;143;2003;ABD;$654,264,015;"Ted Elliott
                                        ";Ekim;autumn;0
15;The Lord of the Rings: The Fellowship of the Ring;Aksiyon;Peter Jackson;228;2001;ABD;$880,839,846;"Fran Walsh
                                        ";Eylül;autumn;1
16;Avatar;Bilim Kurgu;James Cameron;162;2009;Multi Nation;$2,743,577,587;James Cameron;Eylül;autumn;1
18;Pirates of the Caribbean: Dead Man's Chest;Aksiyon;Gore Verbinski;151;2006;ABD;$1,066,179,725;"Ted Elliott
                                        ";Temmuz;summer;0
