;Name;Worldwide;MovieType;Director;Duration;Year;Country
0;Home Alone;285761244;Aile;Chris Columbus;103;1990;ABD
1;Ghost;217631306;Dram;Jerry Zucker;127;1990;ABD
2;Pretty Woman;178406268;Komedi;Garry Marshall;119;1990;ABD
3;Teenage Mutant Ninja Turtles;135265915;Bilim Kurgu;Jonathan Liebesman;101;2014;ABD
4;Teenage Mutant Ninja Turtles;135265915;Bilim Kurgu;Steve Barron;93;1990;Multi Nation
5;Teenage Mutant Ninja Turtles;485004754;Bilim Kurgu;Jonathan Liebesman;101;2014;ABD
6;Teenage Mutant Ninja Turtles;485004754;Bilim Kurgu;Steve Barron;93;1990;Multi Nation
7;Total Recall;119394840;Bilim Kurgu;Len Wiseman;118;2012;Multi Nation
8;Total Recall;119394840;Bilim Kurgu;Paul Verhoeven;113;1990;ABD
9;Total Recall;198467168;Bilim Kurgu;Len Wiseman;118;2012;Multi Nation
10;Total Recall;198467168;Bilim Kurgu;Paul Verhoeven;113;1990;ABD
11;Die Hard 2;117540947;Aksiyon;Renny Harlin;124;1990;ABD
12;Kindergarten Cop;91457688;Komedi;Ivan Reitman;111;1990;ABD
13;Back to the Future Part III;87727583;Bilim Kurgu;Robert Zemeckis;119;1990;ABD
14;Flatliners;61489265;Bilim Kurgu;Joel Schumacher;115;1990;ABD
15;Flatliners;61489265;Dram;Niels Arden Oplev;111;2017;ABD
16;Flatliners;45158254;Bilim Kurgu;Joel Schumacher;115;1990;ABD
17;Flatliners;45158254;Dram;Niels Arden Oplev;111;2017;ABD
18;Misery;61276872;Dram;Rob Reiner;107;1990;ABD
19;Edward Scissorhands;56362352;Dram;Tim Burton;105;1990;ABD
20;Problem Child;53470891;Aile;Dennis Dugan;81;1990;ABD
21;Awakenings;52096475;Dram;Penny Marshall;120;1990;ABD
22;Look Who's Talking Too;47789074;Komedi;Amy Heckerling;81;1990;ABD
23;Goodfellas;46836214;Dram;Martin Scorsese;145;1990;ABD
24;Gremlins 2: The New Batch;41482207;Fantastik;Joe Dante;106;1990;ABD
25;Rocky V;40946358;Dram;John G. Avildsen;104;1990;ABD
26;Predator 2;30669413;Bilim Kurgu;Stephen Hopkins;108;1990;ABD
27;Child's Play 2;28501605;Gerilim;John Lafia;84;1990;ABD
28;Jacob's Ladder;26118851;Dram;Adrian Lyne;113;1990;ABD
29;The Rookie;21633874;Aile;John Lee Hancock;127;2002;ABD
30;The Rookie;80693537;Aile;John Lee Hancock;127;2002;ABD
31;Hamlet;20710451;Dram;Kenneth Branagh;242;1996;Multi Nation
32;Hamlet;20710451;Dram;Franco Zeffirelli;130;1990;Multi Nation
33;Hamlet;4739189;Dram;Kenneth Branagh;242;1996;Multi Nation
34;Hamlet;4739189;Dram;Franco Zeffirelli;130;1990;Multi Nation
35;Hamlet;2046433;Dram;Kenneth Branagh;242;1996;Multi Nation
36;Hamlet;2046433;Dram;Franco Zeffirelli;130;1990;Multi Nation
37;The Guardian;17037887;Aksiyon;Andrew Davis;139;2006;ABD
38;The Guardian;94973540;Aksiyon;Andrew Davis;139;2006;ABD
39;Tremors;16667084;Bilim Kurgu;Ron Underwood;96;1990;ABD
40;Lord of the Flies;13985225;Dram;Harry Hook;91;1990;ABD
41;Miller's Crossing;5080409;Dram;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";115;1990;ABD
42;The Sheltering Sky;2075084;Dram;Bernardo Bertolucci;138;1990;Multi Nation
43;Beauty and the Beast;248802521;Aile;Bill Condon;129;2017;ABD
44;Beauty and the Beast;47430624;Aile;Bill Condon;129;2017;ABD
45;Beauty and the Beast;1263521126;Aile;Bill Condon;129;2017;ABD
46;Terminator 2: Judgment Day;204843345;Bilim Kurgu;James Cameron;156;1991;Multi Nation
47;Robin Hood: Prince of Thieves;165493908;Aksiyon;Kevin Reynolds;143;1991;ABD
48;Hook;119654823;Aile;Steven Spielberg;142;1991;ABD
49;The Addams Family;113502426;Fantastik;Barry Sonnenfeld;99;1991;ABD
50;The Addams Family;203044905;Fantastik;Barry Sonnenfeld;99;1991;ABD
51;Fried Green Tomatoes;82418501;Dram;Jon Avnet;130;1991;ABD
52;Cape Fear;79091969;Gerilim;Martin Scorsese;128;1991;ABD
53;JFK;70405498;Dram;Oliver Stone;189;1991;Multi Nation
54;My Girl;59489799;Dram;Howard Zieff;103;1991;ABD
55;Thelma & Louise;45454078;Dram;Ridley Scott;130;1991;Multi Nation
56;Point Break;43218387;Aksiyon;Kathryn Bigelow;122;1991;Multi Nation
57;Point Break;43218387;Aksiyon;Ericson Core;113;2015;Multi Nation
58;Point Break;133782481;Aksiyon;Kathryn Bigelow;122;1991;Multi Nation
59;Point Break;133782481;Aksiyon;Ericson Core;113;2015;Multi Nation
60;The Fisher King;41895491;Dram;Terry Gilliam;138;1991;ABD
61;Freddy's Dead: The Final Nightmare;34872033;Gerilim;Rachel Talalay;89;1991;ABD
62;The Doors;34494884;Dram;Oliver Stone;140;1991;ABD
63;Dying Young;33669178;Dram;Joel Schumacher;111;1991;ABD
64;Double Impact;30102717;Aksiyon;Sheldon Lettich;110;1991;ABD
65;Problem Child 2;25104700;Aile;Brian Levant;90;1991;ABD
66;Lionheart;24078196;Aksiyon;Sheldon Lettich;105;1990;ABD
67;Oscar;23562716;Komedi;John Landis;109;1991;ABD
68;Child's Play 3;14960255;Gerilim;Jack Bender;90;1991;ABD
69;Not Without My Daughter;14789113;Dram;Brian Gilbert;116;1991;ABD
70;Rush;7241350;Aksiyon;Ron Howard;123;2013;Multi Nation
71;Rush;95224595;Aksiyon;Ron Howard;123;2013;Multi Nation
72;My Own Private Idaho;6401336;Dram;Gus Van Sant;104;1991;ABD
