Name;Worldwide;Domestic;Foreign
¡Que viva México!;$4,218,942;$161,222;$4,057,720
¡Vaya vacaciones!;$5,176,254;-;$5,176,254
10 jours encore sans maman;$5,584,645;-;$5,584,645
2018;$4,547,765;-;$4,547,765
65;$60,730,568;$32,062,904;$28,667,664
80 for Brady;$40,362,938;$39,330,588;$1,032,350
A Brighter Tomorrow;$6,451,702;-;$6,451,702
A Great Friend;$4,680,701;-;$4,680,701
A Guilty Conscience;$14,914,575;-;$14,914,575
A Haunting in Venice;$103,475,823;$36,399,103;$67,076,720
About My Father;$18,167,819;$12,089,391;$6,078,428
After Everything;$9,044,206;-;$9,044,206
Air;$90,060,106;$52,460,106;$37,600,000
Alibi.com 2;$34,032,623;-;$34,032,623
All Your Faces;$9,056,053;-;$9,056,053
Allelujah;$5,035,719;-;$5,035,719
Anatomy of a Fall;$8,921,864;-;$8,921,864
And Yet, You Are So Sweet;$6,099,393;-;$6,099,393
Ant-Man and the Wasp: Quantumania;$476,071,180;$214,504,909;$261,566,271
Are You There God? It's Me, Margaret.;$21,464,043;$20,372,406;$1,091,637
Asterix & Obelix: The Middle Kingdom;$46,493,489;-;$46,493,489
Asteroid City;$53,208,744;$28,153,025;$25,055,719
Baba Yaga spasyot mir;$5,379,552;-;$5,379,552
Barbie;$1,437,746,229;$634,546,229;$803,200,000
Beau Is Afraid;$11,480,078;$8,176,562;$3,303,516
Beautiful Disaster;$6,850,036;-;$6,850,036
Big George Foreman;$6,031,202;$5,426,772;$604,430
Blue Beetle;$128,608,057;$71,808,057;$56,800,000
Blue Giant;$5,742,116;-;$5,742,116
Book Club: The Next Chapter;$28,963,695;$17,556,340;$11,407,355
Bottoms;$11,916,892;$11,916,892;-
BTS: Yet to Come in Cinemas;$29,291,883;$8,093,270;$21,198,613
Cats in the Museum;$7,200,169;-;$7,200,169
Championext;$11,209,387;-;$11,209,387
Champions;$18,906,455;$16,271,910;$2,634,545
Chi Chi Em Em 2;$5,109,674;-;$5,109,674
City Hunter the Movie: Angel Dust;$6,394,423;-;$6,394,423
Cobweb;$7,355,867;-;$7,355,867
Cocaine Bear;$87,788,301;$64,388,510;$23,399,791
Concrete Utopia;$28,859,372;-;$28,859,372
