;Name;Worldwide;Domestic;MovieType;Duration;Year;Country;Director;Continent
0;Teenage Mutant Ninja Turtles;135265915;135265915;Bilim Kurgu;101;2014;ABD;Jonathan Liebesman;ABD
1;Teenage Mutant Ninja Turtles;485004754;191204754;Bilim Kurgu;101;2014;ABD;Jonathan Liebesman;ABD
2;Total Recall;119394840;119394840;Bilim Kurgu;118;2012;Multi Nation;Len Wiseman;Multi Nation
3;Total Recall;198467168;58877969;Bilim Kurgu;118;2012;Multi Nation;Len Wiseman;Multi Nation
4;Flatliners;61489265;61489265;Dram;111;2017;ABD;Niels Arden Oplev;ABD
5;Flatliners;45158254;16883115;Dram;111;2017;ABD;Niels Arden Oplev;ABD
6;The Rookie;21633874;21633874;Aile;127;2002;ABD;John Lee Hancock;ABD
7;The Rookie;80693537;75600072;Aile;127;2002;ABD;John Lee Hancock;ABD
8;The Guardian;17037887;17037887;Aksiyon;139;2006;ABD;Andrew Davis;ABD
9;The Guardian;94973540;55011732;Aksiyon;139;2006;ABD;Andrew Davis;ABD
10;Beauty and the Beast;248802521;145863363;Aile;129;2017;ABD;Bill Condon;ABD
11;Beauty and the Beast;47430624;;Aile;129;2017;ABD;Bill Condon;ABD
12;Beauty and the Beast;1263521126;504014165;Aile;129;2017;ABD;Bill Condon;ABD
13;Point Break;43218387;43218387;Aksiyon;113;2015;Multi Nation;Ericson Core;Multi Nation
14;Point Break;133782481;28782481;Aksiyon;113;2015;Multi Nation;Ericson Core;Multi Nation
15;Rush;7241350;7241350;Aksiyon;123;2013;Multi Nation;Ron Howard;Multi Nation
16;Rush;95224595;26947624;Aksiyon;123;2013;Multi Nation;Ron Howard;Multi Nation
17;Everybody's Fine;1745470;1745470;Dram;99;2009;ABD;Kirk Jones;ABD
18;The Unborn;1159578;1159578;Gerilim;87;2009;ABD;David S. Goyer;ABD
19;The Unborn;76514050;42670410;Gerilim;87;2009;ABD;David S. Goyer;ABD
20;Aladdin;346476295;217350219;Aile;127;2019;ABD;Guy Ritchie;ABD
21;Aladdin;346476295;217350219;Aile;127;2019;ABD;Guy Ritchie;ABD
22;Aladdin;1050693953;355559216;Aile;127;2019;ABD;Guy Ritchie;ABD
23;Aladdin;1050693953;355559216;Aile;127;2019;ABD;Guy Ritchie;ABD
24;Trespass;13249535;13249535;Gerilim;91;2011;ABD;Joel Schumacher;ABD
25;Gladiator;9223441;9223441;Aksiyon;171;2000;Multi Nation;Ridley Scott;Multi Nation
26;Gladiator;460583960;187705427;Aksiyon;171;2000;Multi Nation;Ridley Scott;Multi Nation
27;Rampage;796368;796368;Bilim Kurgu;108;2018;ABD;Brad Peyton;ABD
28;Rampage;428128233;101028233;Bilim Kurgu;108;2018;ABD;Brad Peyton;ABD
29;Proof;524668;524668;Dram;101;2005;ABD;John Madden;ABD
30;Proof;14189860;7535331;Dram;101;2005;ABD;John Madden;ABD
31;The Three Musketeers;53898845;53898845;Aksiyon;110;2011;Multi Nation;Paul W.S. Anderson;Multi Nation
32;The Three Musketeers;132274484;20374484;Aksiyon;110;2011;Multi Nation;Paul W.S. Anderson;Multi Nation
33;Fearless;6995302;6995302;Aksiyon;103;2006;Multi Nation;Ronny Yu;Multi Nation
