Fact;Brooklyn;Staten Island;Queens;Bronx;Manhattan
Population Estimates, July 1, 2022, (V2022);2,590,516;491,133;2,278,029;1,379,946;1,596,273
Population estimates base, April 1, 2020, (V2022);2,736,075;495,749;2,405,464;1,472,656;1,694,250
Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022);-5.3%;-0.9%;-5.3%;-6.3%;-5.8%
Population, Census, April 1, 2020;2,736,074;495,747;2,405,464;1,472,654;1,694,251
Population, Census, April 1, 2010;2,504,700;468,73;2,230,722;1,385,108;1,585,873
Persons under 5 years, percent;6.4%;5.3%;5.4%;6.6%;4.2%
Persons under 18 years, percent;22.1%;21.3%;19.4%;24.3%;14.0%
Persons 65 years and over, percent;15.6%;17.4%;18.0%;14.4%;18.4%
Female persons, percent;52.3%;50.9%;51.1%;52.7%;52.2%
White alone, percent;49.6%;71.4%;46.5%;43.6%;62.9%
Black or African American alone, percent;33.2%;11.6%;20.8%;44.3%;18.7%
American Indian and Alaska Native alone, percent;1.0%;0.7%;1.4%;3.1%;1.3%
Asian alone, percent;13.2%;13.7%;27.9%;4.8%;13.3%
Native Hawaiian and Other Pacific Islander alone, percent(a);0.1%;0.1%;0.2%;0.4%;0.2%
Two or More Races, percent;2.9%;2.4%;3.1%;3.8%;3.6%
Hispanic or Latino, percent(b);18.9%;18.8%;28.2%;56.6%;26.2%
White alone, not Hispanic or Latino, percent;36.7%;56.6%;23.9%;8.7%;45.5%
Veterans, 2017-2021;36,598;12,508;41,318;24,69;29,444
Foreign born persons, percent, 2017-2021;35.3%;24.2%;47.0%;34.2%;27.9%
Housing units, July 1, 2022, (V2022);1,101,441;184,53;911,957;558,005;923,302
Owner-occupied housing unit rate, 2017-2021;30.7%;68.7%;45.4%;19.8%;24.7%
Median value of owner-occupied housing units, 2017-2021;$767,500;$575,500;$603,200;$445,900;$1,008,500
Median selected monthly owner costs -with a mortgage, 2017-2021;$3,099;$2,687;$2,777;$2,661;$3,661
Median selected monthly owner costs -without a mortgage, 2017-2021;$971;$977;$961;$873;$1,218
Median gross rent, 2017-2021;$1,582;$1,445;$1,711;$1,306;$1,869
Building permits, 2022;9,423;392;5,161;3,93;2,584
Households, 2017-2021;985,108;169,528;807,468;521,34;767,213
Persons per household, 2017-2021;25965;31809;34001;26696;45171
Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021;90.6%;93.5%;92.1%;91.8%;83.9%
Language other than English spoken at home, percent of persons age 5 years+, 2017-2021;44.3%;33.9%;55.2%;58.2%;38.3%
Computer and Internet Use;;;;;
Households with a computer, percent, 2017-2021;90.4%;92.8%;93.3%;90.9%;93.4%
Households with a broadband Internet subscription, percent, 2017-2021;84.9%;86.0%;87.7%;82.4%;88.8%
High school graduate or higher, percent of persons age 25 years+, 2017-2021;83.7%;88.6%;82.7%;74.1%;88.4%
Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021;39.5%;34.9%;33.9%;20.9%;62.6%
With a disability, under age 65 years, percent, 2017-2021;5.8%;6.4%;5.6%;11.8%;6.3%
Persons without health insurance, under age 65 years, percent;7.1%;4.9%;9.6%;8.3%;5.4%
In civilian labor force, total, percent of population age 16 years+, 2017-2021;63.6%;59.6%;63.8%;58.9%;66.9%
In civilian labor force, female, percent of population age 16 years+, 2017-2021;60.0%;54.2%;58.2%;55.2%;63.1%
Total accommodation and food services sales, 2017 ($1,000);4,361,700;665,44;4,593,736;1,418,743;27,902,302
Total health care and social assistance receipts/revenue, 2017 ($1,000);20,989,493;3,540,659;15,735,791;13,367,520;44,469,833
Total transportation and warehousing receipts/revenue, 2017 ($1,000);2,409,494;1,091,017;20,371,315;1,163,686;4,764,857
Total retail sales, 2017 ($1,000);28,734,814;4,302,741;19,297,120;9,150,286;54,824,853
Total retail sales per capita, 2017;$11,076;$9,043;$8,408;$6,355;$33,587
Mean travel time to work (minutes), workers age 16 years+, 2017-2021;42.9;44.5;43.8;45.3;32.1
Median household income (in 2021 dollars), 2017-2021;$67,753;$89,427;$75,886;$43,726;$93,956
Per capita income in past 12 months (in 2021 dollars), 2017-2021;$38,812;$40,180;$35,640;$23,862;$83,008
Persons in poverty, percent;19.2%;11.9%;13.6%;26.4%;17.4%
Total employer establishments, 2021;60,33;9,361;49,895;18,186;96,083
Total employment, 2021;643,139;101,903;543,514;267,58;2,024,913
Total annual payroll, 2021 ($1,000);31,581,110;5,311,165;31,323,548;14,301,490;304,080,571
Total employment, percent change, 2020-2021;-7.3%;-9.9%;-9.9%;-6.1%;-14.0%
Total nonemployer establishments, 2020;277,501;39,046;262,513;111,837;202,256
All employer firms, Reference year 2017;52,976;8,192;44,964;15,64;86,33
Men-owned employer firms, Reference year 2017;34,358;5,605;29,262;10,346;52,638
Women-owned employer firms, Reference year 2017;11,752;1,504;10,125;2,838;18,965
Minority-owned employer firms, Reference year 2017;16,025;1,684;20,423;5,889;20,596
Nonminority-owned employer firms, Reference year 2017;33,928;5,943;22,039;8,445;56,168
Veteran-owned employer firms, Reference year 2017;1,246;S;1,032;531;2,374
Nonveteran-owned employer firms, Reference year 2017;48,909;7,268;41,558;13,886;74,68
Population per square mile, 2020;39,437.8;8,618.2;22,124.5;34,920.2;74,781.6
Population per square mile, 2010;35,369.1;8,030.3;20,553.6;32,903.6;69,467.5
Land area in square miles, 2020;69.38;57.52;108.72;42.17;22.66
Land area in square miles, 2010;70.82;58.37;108.53;42.10;22.83
