;Name;Avg Rating;Movie Type;Director;Rate Count;Watch Count;Fav;Duration;Made In
529;[Rec];8.1;Gizem;"Jaume Balagueró
                                        ,                                                                                                                     Paco Plaza";1407;1515 kullan?c? Rec: Ölüm Ç??l??? filmini izledi;1426 kullan?c?n?n favori filmi;78dk;"2007 -
                            

                                                                                                                                                                                                            ?spanya"
873;[Rec] 2;7.9;Gerilim;"Jaume Balagueró
                                        ,                                                                                                                     Paco Plaza";943;734 kullan?c? Rec 2 filmini izledi;892 kullan?c?n?n favori filmi;84dk;"2009 -
                            

                                                                                                                                                                                                            ?spanya"
1865;[REC]³ Genesis;6.6;Korku;Paco Plaza;589;598 kullan?c? Rec 3: Dirili? filmini izledi;360 kullan?c?n?n favori filmi;80dk;"2012 -
                            

                                                                                                                                                                                                            ?spanya"
710;10 Things I Hate About You;8.2;Dram;Gil Junger;910;1177 kullan?c? Senden Nefret Etmemin 10 Sebebi filmini izledi;1077 kullan?c?n?n favori filmi;97dk;"1999 -
                            

                                                                                                                                                                                                            ABD"
375;10.000 B.C.;7.6;Aksiyon;Roland Emmerich;1954;1972 kullan?c? M.Ö. 10.000 filmini izledi;1943 kullan?c?n?n favori filmi;109dk;"2008 -
                            

                                                                                                                                                                                                            ABD
                                                                         ,                                                                                                                                                 Güney Afrika"
1926;100 Feet;7.0;Gerilim;Eric Red;437;268 kullan?c? 100 Ad?m filmini izledi;348 kullan?c?n?n favori filmi;105dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1000;101 Dalmatians;7.8;Aile;Stephen Herek;776;1093 kullan?c? 101 Dalmaçyal? filmini izledi;766 kullan?c?n?n favori filmi;103dk;"1996 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1867;102 Dalmatians;7.1;Aile;Kevin Lima;381;406 kullan?c? 102 Dalmaçyal? filmini izledi;360 kullan?c?n?n favori filmi;100dk;"2000 -
                            

                                                                                                                                                                                                            ABD"
280;12 Angry Men;8.8;Dram;Sidney Lumet;1998;2494 kullan?c? 12 K?zg?n Adam filmini izledi;2431 kullan?c?n?n favori filmi;97dk;"1957 -
                            

                                                                                                                                                                                                            ABD"
1246;12 Rounds;7.6;Aksiyon;Renny Harlin;759;585 kullan?c? 12 Tuzak filmini izledi;599 kullan?c?n?n favori filmi;99dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
