;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
0;1;Inception;148;2010;Multi Nation;828258695;Christopher Nolan;30 Temmuz 2010;Temmuz;summer;Christopher Nolan;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;3;The Prestige;130;2006;Multi Nation;109676311;"Christopher Nolan
                                        ";22 Aral?k 2006;Aral?k;winter;Christopher Nolan;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2;6;V For Vendetta;134;2006;Multi Nation;132511035;"Lilly Wachowski
                                        ";31 Mart 2006;Mart;spring;James McTeigue;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;7;The Lord of the Rings: The Return of the King;263;2003;ABD;1140682011;"Fran Walsh
                                        ";19 Aral?k 2003;Aral?k;winter;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
4;9;The Lord of the Rings: The Two Towers;235;2002;ABD;936689735;"Fran Walsh
                                        ";20 Aral?k 2002;Aral?k;winter;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
5;10;A Beautiful Mind;135;2001;ABD;313542341;Akiva Goldsman;8 Mart 2002;Mart;spring;Ron Howard;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6;11;The Curious Case Of Benjamin Button;162;2008;ABD;335802786;"Eric Roth
                                        ";6 ?ubat 2009;?ubat;winter;David Fincher;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;12;I Am Legend;100;2007;ABD;585410052;"Mark Protosevich
                                        ";25 Ocak 2008;Ocak;winter;Francis Lawrence;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
8;13;The Dark Knight;152;2008;Multi Nation;1003845358;"Christopher Nolan
                                        ";25 Temmuz 2008;Temmuz;summer;Christopher Nolan;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
9;14;Pirates Of The Caribbean: The Curse Of The Black Pearl;143;2003;ABD;654264015;"Ted Elliott
                                        ";31 Ekim 2003;Ekim;autumn;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;15;The Lord of the Rings: The Fellowship of the Ring;228;2001;ABD;880839846;"Fran Walsh
                                        ";22 Eylül 2023;Eylül;autumn;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
11;16;Avatar;162;2009;Multi Nation;2743577587;James Cameron;23 Eylül 2022;Eylül;autumn;James Cameron;1;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0
12;18;Pirates of the Caribbean: Dead Man's Chest;151;2006;ABD;1066179725;"Ted Elliott
                                        ";14 Temmuz 2006;Temmuz;summer;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13;19;Pirates of the Caribbean: At World's End;169;2007;ABD;960996492;"Ted Elliott
                                        ";25 May?s 2007;May?s;spring;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14;20;The Pianist;150;2002;Multi Nation;120072577;Ronald Harwood;28 ?ubat 2003;?ubat;winter;Roman Polanski;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15;21;Gladiator;171;2000;Multi Nation;9223441;"John Logan
                                        ";19 May?s 2000;May?s;spring;Ridley Scott;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;23;3 Idiots;170;2009;Hindistan;60262836;"Rajkumar Hirani
                                        ";9 Kas?m 2009;Kas?m;autumn;Rajkumar Hirani;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
17;24;Twilight;122;2008;ABD;15055091;Melissa Rosenberg;16 Ocak 2009;Ocak;winter;Catherine Hardwicke;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
18;25;The Butterfly Effect;113;2004;Multi Nation;96693417;"Eric Bress
                                        ";9 Nisan 2004;Nisan;spring;Eric Bress;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
19;26;Slumdog Millionaire;120;2008;?ngiltere;378410113;"Simon Beaufoy
                                        ";27 ?ubat 2009;?ubat;winter;Danny Boyle;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
20;27;Harry Potter and the Goblet of Fire;157;2005;Multi Nation;895921036;"J.K. Rowling
                                        ";18 Kas?m 2005;Kas?m;autumn;Mike Newell;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;29;The Pursuit of Happyness;117;2006;ABD;307127625;Steve Conrad;2 Mart 2007;Mart;spring;Gabriele Muccino;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
24;31;Shutter Island;138;2010;ABD;294804195;Laeta Kalogridis;12 Mart 2010;Mart;spring;Martin Scorsese;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
25;32;Blood Diamond;143;2006;Multi Nation;171720398;"Charles Leavitt
                                        ";2 ?ubat 2007;?ubat;winter;Edward Zwick;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;33;Harry Potter and the Half-Blood Prince;153;2009;Multi Nation;933959197;Steve Kloves;15 Temmuz 2009;Temmuz;summer;David Yates;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
27;35;Harry Potter and the Order of the Phoenix;138;2007;Multi Nation;941676843;Michael Goldenberg;10 A?ustos 2007;A?ustos;summer;David Yates;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
28;36;Troy;196;2004;Multi Nation;497409852;David Benioff;14 May?s 2004;May?s;spring;Wolfgang Petersen;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
29;38;The Illusionist;110;2006;ABD;87892388;"Neil Burger
                                        ";18 A?ustos 2006;A?ustos;summer;Neil Burger;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
30;39;Harry Potter and The Prisoner of Azkaban;141;2004;Multi Nation;795634069;Steve Kloves;4 Haziran 2004;Haziran;summer;Alfonso Cuarón;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
31;40;300;117;2006;Multi Nation;456068181;"Zack Snyder
                                        ";16 Mart 2007;Mart;spring;Zack Snyder;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32;41;Harry Potter and the Sorcerer's Stone;159;2001;Multi Nation;974755371;"J.K. Rowling
                                        ";1 ?ubat 2002;?ubat;winter;Chris Columbus;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
33;42;50 First Dates;99;2004;ABD;198413428;George Wing;30 Nisan 2004;Nisan;spring;Peter Segal;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
35;44;Ice Age;81;2002;ABD;383257136;"Michael J. Wilson
                                        ";31 Ocak 2003;Ocak;winter;Carlos Saldanha;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;45;The Twilight Saga: New Moon;131;2009;ABD;709827462;Melissa Rosenberg;20 Kas?m 2009;Kas?m;autumn;Chris Weitz;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0
37;46;Eternal Sunshine of the Spotless Mind;108;2004;ABD;74036715;"Michel Gondry
                                        ";26 May?s 2006;May?s;spring;Michel Gondry;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
38;47;Wanted;110;2008;Multi Nation;342463063;"Chris Morgan
                                        ";27 Haziran 2008;Haziran;summer;Timur Bekmambetov;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
39;48;Harry Potter and the Chamber of Secrets;175;2002;Multi Nation;878979634;Steve Kloves;29 Kas?m 2002;Kas?m;autumn;Chris Columbus;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
40;52;Ice Age: Dawn of the Dinosaurs;94;2009;ABD;886686817;"Michael Berg
                                        ";1 Temmuz 2009;Temmuz;summer;Carlos Saldanha;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
41;53;Pirates Of The Caribbean: On Stranger Tides;137;2011;Multi Nation;1045713802;"Ted Elliott
                                        ";19 May?s 2011;May?s;spring;Rob Marshall;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
42;54;The Twilight Saga: Eclipse;124;2010;ABD;698491347;"Melissa Rosenberg
                                        ";30 Haziran 2010;Haziran;summer;David Slade;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
43;55;The Departed;151;2006;Multi Nation;291465034;"William Monahan
                                        ";24 Kas?m 2006;Kas?m;autumn;Martin Scorsese;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
44;56;Yes Man;104;2008;ABD;223241637;"Nicholas Stoller
                                        ";16 Ocak 2009;Ocak;winter;Peyton Reed;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
45;57;P.S. I Love You;126;2007;ABD;156835339;"Richard LaGravenese
                                        ";15 ?ubat 2008;?ubat;winter;Richard LaGravenese;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
46;58;Catch Me If You Can;190;2002;ABD;352114312;Jeff Nathanson;31 Ocak 2003;Ocak;winter;Steven Spielberg;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
47;59;Sherlock Holmes: A Game Of Shadows;129;2011;Multi Nation;543848418;"Michele Mulroney
                                        ";16 Aral?k 2011;Aral?k;winter;Guy Ritchie;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
50;63;Transformers;143;2007;ABD;709709780;"Alex Kurtzman
                                        ";6 Temmuz 2007;Temmuz;summer;Michael Bay;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
51;65;The Hangover;100;2009;Multi Nation;468812793;"Jon Lucas
                                        ";10 Temmuz 2009;Temmuz;summer;Todd Phillips;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
