;Name;Worldwide;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Sava?;MovieType_Western
0;Home Alone;285761244;103;1990;ABD;Chris Columbus;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Ghost;217631306;127;1990;ABD;Jerry Zucker;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2;Pretty Woman;178406268;119;1990;ABD;Garry Marshall;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
3;Teenage Mutant Ninja Turtles;135265915;101;2014;ABD;Jonathan Liebesman;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4;Teenage Mutant Ninja Turtles;135265915;93;1990;Multi Nation;Steve Barron;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5;Teenage Mutant Ninja Turtles;485004754;101;2014;ABD;Jonathan Liebesman;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;Teenage Mutant Ninja Turtles;485004754;93;1990;Multi Nation;Steve Barron;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
7;Total Recall;119394840;118;2012;Multi Nation;Len Wiseman;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;Total Recall;119394840;113;1990;ABD;Paul Verhoeven;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
9;Total Recall;198467168;118;2012;Multi Nation;Len Wiseman;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10;Total Recall;198467168;113;1990;ABD;Paul Verhoeven;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
11;Die Hard 2;117540947;124;1990;ABD;Renny Harlin;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
12;Kindergarten Cop;91457688;111;1990;ABD;Ivan Reitman;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13;Back to the Future Part III;87727583;119;1990;ABD;Robert Zemeckis;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14;Flatliners;61489265;115;1990;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;Flatliners;61489265;111;2017;ABD;Niels Arden Oplev;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
16;Flatliners;45158254;115;1990;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
17;Flatliners;45158254;111;2017;ABD;Niels Arden Oplev;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
18;Misery;61276872;107;1990;ABD;Rob Reiner;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
