;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
0;Teenage Mutant Ninja Turtles;135265915;135265915;101;2014;ABD;Jonathan Liebesman;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;Teenage Mutant Ninja Turtles;485004754;191204754;101;2014;ABD;Jonathan Liebesman;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2;Total Recall;119394840;119394840;118;2012;Multi Nation;Len Wiseman;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;Total Recall;198467168;58877969;118;2012;Multi Nation;Len Wiseman;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
4;Flatliners;61489265;61489265;111;2017;ABD;Niels Arden Oplev;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5;Flatliners;45158254;16883115;111;2017;ABD;Niels Arden Oplev;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6;The Rookie;21633874;21633874;127;2002;ABD;John Lee Hancock;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7;The Rookie;80693537;75600072;127;2002;ABD;John Lee Hancock;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
8;The Guardian;17037887;17037887;139;2006;ABD;Andrew Davis;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;The Guardian;94973540;55011732;139;2006;ABD;Andrew Davis;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;Beauty and the Beast;248802521;145863363;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;Beauty and the Beast;47430624;;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
12;Beauty and the Beast;1263521126;504014165;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
13;Point Break;43218387;43218387;113;2015;Multi Nation;Ericson Core;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
